ID,Sample number (AO),Sample number (VO),Sample number (AV),Competition,Section,Year,Musician,Instrument,Result,Variance condition,Start Time,Source video (full length),6-second clip (AO),6-second clip (VO),6-second clip (AV)
1,1-1,26-1,51-1,Van Cliburn International Piano Competition,,1997,Jon Nakamatsu,Piano,1st place,low-variance,5:59,goo.gl/aHfpDG,https://osf.io/c34fe/,https://osf.io/49esd/,https://osf.io/t6nvf/
2,1-2,26-2,51-2,Van Cliburn International Piano Competition,,1997,Yakov Kasman,Piano,2nd place,low-variance,2:29,goo.gl/aHfpDG,https://osf.io/j8nuz/,https://osf.io/pgd3z/,https://osf.io/py5d6/
3,2-1,27-1,52-1,International Franz Liszt Piano Competition,,2002,Jean Dube,Piano,1st place,low-variance,5:13,goo.gl/86eDQb,https://osf.io/9tqdu/,https://osf.io/7e5m8/,https://osf.io/p8uy6/
4,2-2,27-2,52-2,International Franz Liszt Piano Competition,,2002,Ilona Timchenko,Piano,2nd place,low-variance,6:42,goo.gl/86eDQb,https://osf.io/js7bm/,https://osf.io/ah8y4/,https://osf.io/f48kg/
5,3-1,28-1,53-1,International Franz Liszt Piano Competition,,2005,Yingdi Sun,Piano,1st place,low-variance,1:28,goo.gl/80XD1m,https://osf.io/za7wk/,https://osf.io/87wkt/,https://osf.io/q859w/
6,3-2,28-2,53-2,International Franz Liszt Piano Competition,,2005,Anton Salnikov,Piano,2nd place,low-variance,3:45,goo.gl/80XD1m,https://osf.io/sxutb/,https://osf.io/z7hmj/,https://osf.io/psgct/
7,4-1,29-1,54-1,San Marino Piano Competition,,2008,Daniil Trifonov,Piano,1st place,low-variance,3:49,goo.gl/9eDRkY,https://osf.io/gpvwu/,https://osf.io/k5qdr/,https://osf.io/ynxjk/
8,4-2,29-2,54-2,San Marino Piano Competition,,2008,Lukas Geniusas,Piano,2nd place,low-variance,0:43,goo.gl/4s5Ivn,https://osf.io/wmkjr/,https://osf.io/xzsjc/,https://osf.io/k2etj/
9,5-1,30-1,55-1,Van Cliburn International Piano Competition,,2009,Haochen Zhang,Piano,1st place,low-variance,4:14,goo.gl/PpWm9q,https://osf.io/2kbz3/,https://osf.io/59apz/,https://osf.io/mcb7w/
10,5-2,30-2,55-2,Van Cliburn International Piano Competition,,2009,Mariangela Vacatello,Piano,Finalist,low-variance,7:47,goo.gl/hIqYEc,https://osf.io/eqxh2/,https://osf.io/5n4jw/,https://osf.io/rxw7n/
11,6-1,31-1,56-1,International Michinoku Tsugaru shamisen Competition,general women public,2019,Yuumi Agawa,Tsugaru shamisen,1st place,low-variance,0:26,https://www.youtube.com/watch?v=C7qi8H9SsSA,https://osf.io/bt3ns/,https://osf.io/pdvqu/,https://osf.io/cywh2/
12,6-2,31-2,56-2,International Michinoku Tsugaru shamisen Competition,general women public,2019,Satsuki Muramatsu,Tsugaru shamisen,2nd place,low-variance,0:29,https://www.youtube.com/watch?v=C7qi8H9SsSA,https://osf.io/dj4hk/,https://osf.io/4kzcw/,https://osf.io/ydwcn/
13,7-1,32-1,57-1,International Michinoku Tsugaru shamisen Competition,general men public,2019,Syuntaro Komachi,Tsugaru shamisen,1st place,low-variance,0:00,https://www.youtube.com/watch?v=58k0qb_7LPU,https://osf.io/pr25y/,https://osf.io/4fbeq/,https://osf.io/gk7qe/
14,7-2,32-2,57-2,International Michinoku Tsugaru shamisen Competition,general men public,2019,Tetsuya Suzuki,Tsugaru shamisen,2nd place,low-variance,0:15,https://www.youtube.com/watch?v=58k0qb_7LPU,https://osf.io/5zb4s/,https://osf.io/gpb24/,https://osf.io/rxsdg/
15,8-1,33-1,58-1,International Biwako Tsugaru shamisen Competition,boys and girls,2019,Maimu Onodera,Tsugaru shamisen,1st place,low-variance,2:22,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/7x2f5/,https://osf.io/yvzdw/,https://osf.io/jg4x9/
16,8-2,33-2,58-2,International Biwako Tsugaru shamisen Competition,boys and girls,2019,Yoshiki Shinohara,Tsugaru shamisen,2nd place,low-variance,2:29,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/qxkf3/,https://osf.io/vwpyf/,https://osf.io/8bhvy/
17,9-1,34-1,59-1,International Biwako Tsugaru shamisen Competition,senior,2019,Keiko Nishiyama,Tsugaru shamisen,1st place,low-variance,1:11,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/fqs8h/,https://osf.io/wz68q/,https://osf.io/gcpe6/
18,9-2,34-2,59-2,International Biwako Tsugaru shamisen Competition,senior,2019,Yoshimi Ooyabe,Tsugaru shamisen,2nd place,low-variance,0:53,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/jxvqn/,https://osf.io/7yvux/,https://osf.io/y3m6f/
19,10-1,35-1,60-1,International Hirosaki Tsugaru shamisen Competition,personal B,2019,Ryoya Sato,Tsugaru shamisen,1st place,low-variance,5:59,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/nz8u3/,https://osf.io/p8y2e/,https://osf.io/5fjy6/
20,10-2,35-2,60-2,International Hirosaki Tsugaru shamisen Competition,personal B,2019,Ryuga Sato,Tsugaru shamisen,2nd place,low-variance,6:06,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/tf7gb/,https://osf.io/dcsyq/,https://osf.io/ntd2h/
21,11-1,36-1,61-1,Van Cliburn International Piano Competition,,2009,Nobuyuki Tsujii,Piano,1st place,high-variance,0:01,goo.gl/Ki2fvq,https://osf.io/7kmuq/,https://osf.io/j67mf/,https://osf.io/yrb7j/
22,11-2,36-2,61-2,Van Cliburn International Piano Competition,,2009,Ran Dank,Piano,Semifinalist,high-variance,0:01,goo.gl/EeWvrh,https://osf.io/qfdp4/,https://osf.io/eq74a/,https://osf.io/mbgtz/
23,12-1,37-1,62-1,International Franz Liszt Piano Competition,,2007,Vitaly Pisarenko,Piano,1st place,high-variance,0:04,goo.gl/SekGqp,https://osf.io/6gfwn/,https://osf.io/9qfzv/,https://osf.io/v5j3a/
24,12-2,37-2,62-2,International Franz Liszt Piano Competition,,2007,Anzhelika Fuks,Piano,3rd place,high-variance,0:01,goo.gl/2pdD4d,https://osf.io/k98ma/,https://osf.io/tafpy/,https://osf.io/dqbcv/
25,13-1,38-1,63-1,San Marino Piano Competition,,2010,Dongkyu Kim,Piano,1st place,high-variance,0:50,goo.gl/onIqKa,https://osf.io/cjrwe/,https://osf.io/xce92/,https://osf.io/67c9f/
26,13-2,38-2,63-2,San Marino Piano Competition,,2010,Yuhi Ozaki,Piano,Earlier competitor,high-variance,0:18,goo.gl/mAaUGD,https://osf.io/tesjv/,https://osf.io/bwk7q/,https://osf.io/j2zv4/
27,14-1,39-1,64-1,Van Cliburn International Piano Competition,,2013,Vadym Kholodenko,Piano,1st place,high-variance,0:37,goo.gl/kDMJgq,https://osf.io/c9whd/,https://osf.io/adcqp/,https://osf.io/vb4jq/
28,14-2,39-2,64-2,Van Cliburn International Piano Competition,,2013,Steven Lin,Piano,Preliminary competitor,high-variance,0:44,goo.gl/nuJG3e,https://osf.io/e5prk/,https://osf.io/7zb5q/,https://osf.io/6rnuy/
29,15-1,40-1,65-1,International Franz Liszt Piano Competition,,2011,Masataka Goto,Piano,1st place,high-variance,0:56,goo.gl/vnsOGD,https://osf.io/f4aeq/,https://osf.io/nzpd2/,https://osf.io/dg2wy/
30,15-2,40-2,65-2,International Franz Liszt Piano Competition,,2011,Ivan Penkov,Piano,Semifinalist,high-variance,N/A,goo.gl/BeUu5c*,https://osf.io/k6rch/,https://osf.io/kyzjd/,https://osf.io/g7v3e/
31,16-1,41-1,66-1,International Michinoku Tsugaru shamisen Competition,junior high school and high school students,2019,Keita Tanase,Tsugaru shamisen,1st place,high-variance,0:17,https://www.youtube.com/watch?v=Irgwr7pmesI,https://osf.io/ebsf4/,https://osf.io/6eb5q/,https://osf.io/5vbjt/
32,16-2,41-2,66-2,International Michinoku Tsugaru shamisen Competition,junior high school and high school students,2019,Akane Uto,Tsugaru shamisen,8th place,high-variance,0:02,https://www.youtube.com/watch?v=Irgwr7pmesI,https://osf.io/pnd7e/,https://osf.io/5d7rc/,https://osf.io/nsjmy/
33,17-1,42-1,67-1,International Biwako Tsugaru shamisen Competition,general women public,2019,Kasumi Minato,Tsugaru shamisen,1st place,high-variance,5:53,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/tmakf/,https://osf.io/vkunm/,https://osf.io/b3j72/
34,17-2,42-2,67-2,International Biwako Tsugaru shamisen Competition,general women public,2019,Ando Yumi,Tsugaru shamisen,21~47th place,high-variance,4:57,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/kvrjh/,https://osf.io/rp62k/,https://osf.io/x5hs2/
35,18-1,43-1,68-1,International Biwako Tsugaru shamisen Competition,beginner,2019,Yu Wan,Tsugaru shamisen,1st place,high-variance,2:08,https://www.youtube.com/watch?v=_-sRdf0Sgbk&t=30062s,https://osf.io/zxd29/,https://osf.io/rzfn3/,https://osf.io/p5uca/
36,18-2,43-2,68-2,International Biwako Tsugaru shamisen Competition,beginner,2019,Naoko Kito,Tsugaru shamisen,21~50th Place,high-variance,0:43,https://www.youtube.com/watch?v=_-sRdf0Sgbk&t=30062s,https://osf.io/5wy93/,https://osf.io/usrtk/,https://osf.io/48tb2/
37,19-1,44-1,69-1,International Hirosaki Tsugaru shamisen Competition,youth C,2019,Yurato Sugawara,Tsugaru shamisen,1st place,high-variance,2:06,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/ahqbc/,https://osf.io/ed94p/,https://osf.io/dzxys/
38,19-2,44-2,69-2,International Hirosaki Tsugaru shamisen Competition,youth C,2019,Marina Nakamura,Tsugaru shamisen,9~57th place,high-variance,2:04,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/uer8f/,https://osf.io/8tekh/,https://osf.io/p26j8/
39,20-1,45-1,70-1,International Hirosaki Tsugaru shamisen Competition,senior C,2019,Yoko Hukase,Tsugaru shamisen,1st place,high-variance,2:51,https://www.youtube.com/watch?v=QkIZO98Zu9g,https://osf.io/cfk25/,https://osf.io/rvm45/,https://osf.io/fn4cr/
40,20-2,45-2,70-2,International Hirosaki Tsugaru shamisen Competition,senior C,2019,Hiroki Sato,Tsugaru shamisen,8~31th place,high-variance,1:56,https://www.youtube.com/watch?v=QkIZO98Zu9g,https://osf.io/8mwth/,https://osf.io/w4vxf/,https://osf.io/8m7a6/
41,21-1,46-1,71-1,Van Cliburn International Piano Competition,,2009,Nobuyuki Tsujii,Piano,1st place,low-variance,2:16,goo.gl/kJXQaH,https://osf.io/9vb4p/,https://osf.io/59vqh/,https://osf.io/47xak/
42,21-2,46-2,71-2,Van Cliburn International Piano Competition,,2009,Yeol Eum Son,Piano,2nd place,low-variance,0:06,goo.gl/s2QvVJ,https://osf.io/3aky6/,https://osf.io/dk2vs/,https://osf.io/gehfc/
43,22-1,47-1,72-1,International Franz Liszt Piano Competition,,2002,Jean Dube,Piano,1st place,low-variance,5:19,goo.gl/EIoASB,https://osf.io/u5pdm/,https://osf.io/mwa7y/,https://osf.io/yq3c4/
44,22-2,47-2,72-2,International Franz Liszt Piano Competition,,2002,Ilona Timchenko,Piano,2nd place,low-variance,6:40,goo.gl/O1XH5o,https://osf.io/z7h4q/,https://osf.io/958nj/,https://osf.io/uvcez/
45,23-1,48-1,73-1,Cleveland International Piano Competition,,2009,Martin Filjak,Piano,1st place,low-variance,0:02,goo.gl/zYqPND,https://osf.io/z65ka/,https://osf.io/bufgz/,https://osf.io/sw8ck/
46,23-2,48-2,73-2,Cleveland International Piano Competition,,2009,Dmitri Levkovich,Piano,2nd place,low-variance,24:59:00,goo.gl/jBCHkJ,https://osf.io/9n4eg/,https://osf.io/m679e/,https://osf.io/3kue8/
47,24-1,49-1,74-1,San Marino Piano Competition,,2008,Daniil Trifonov,Piano,1st place,low-variance,1:48,goo.gl/JAj4CS,https://osf.io/54tq3/,https://osf.io/n4jrt/,https://osf.io/6s5jb/
48,24-2,49-2,74-2,San Marino Piano Competition,,2008,Lukas Geniusas,Piano,2nd place,low-variance,0:50,goo.gl/oJwEZc,https://osf.io/5mhvg/,https://osf.io/p7e4d/,https://osf.io/esnjz/
