ID,group,winner,loser
47291085613,audio-visual,66.66666667,100
47291085613,audio-only,66.66666667,33.33333333
47291085613,visual-only,0,66.66666667
10394261758,audio-visual,66.66666667,66.66666667
10394261758,audio-only,33.33333333,33.33333333
10394261758,visual-only,33.33333333,0
91628410537,audio-visual,66.66666667,0
91628410537,audio-only,66.66666667,100
91628410537,visual-only,33.33333333,100
10476925183,audio-visual,33.33333333,33.33333333
10476925183,audio-only,33.33333333,66.66666667
10476925183,visual-only,33.33333333,66.66666667
10624891573,audio-visual,0,0
10624891573,audio-only,33.33333333,66.66666667
10624891573,visual-only,0,0
72510984361,audio-visual,33.33333333,0
72510984361,audio-only,33.33333333,66.66666667
72510984361,visual-only,0,66.66666667
82561079341,audio-visual,33.33333333,0
82561079341,audio-only,33.33333333,66.66666667
82561079341,visual-only,66.66666667,0
83210547961,audio-visual,66.66666667,66.66666667
83210547961,audio-only,66.66666667,66.66666667
83210547961,visual-only,33.33333333,33.33333333
58910412637,audio-visual,33.33333333,100
58910412637,audio-only,0,0
58910412637,visual-only,0,66.66666667
91013782654,audio-visual,66.66666667,66.66666667
91013782654,audio-only,0,0
91013782654,visual-only,66.66666667,33.33333333
41096321857,audio-visual,33.33333333,66.66666667
41096321857,audio-only,33.33333333,66.66666667
41096321857,visual-only,33.33333333,66.66666667
