ID,Group,winner,loser
47291085613,AudioVisual,66.66666667,100
47291085613,Audio-only,66.66666667,33.33333333
47291085613,Visual-only,0,66.66666667
10394261758,AudioVisual,66.66666667,66.66666667
10394261758,Audio-only,33.33333333,33.33333333
10394261758,Visual-only,33.33333333,0
91628410537,AudioVisual,66.66666667,0
91628410537,Audio-only,66.66666667,100
91628410537,Visual-only,33.33333333,100
10476925183,AudioVisual,33.33333333,33.33333333
10476925183,Audio-only,33.33333333,66.66666667
10476925183,Visual-only,33.33333333,66.66666667
10624891573,AudioVisual,0,0
10624891573,Audio-only,33.33333333,66.66666667
10624891573,Visual-only,0,0
72510984361,AudioVisual,33.33333333,0
72510984361,Audio-only,33.33333333,66.66666667
72510984361,Visual-only,0,66.66666667
82561079341,AudioVisual,33.33333333,0
82561079341,Audio-only,33.33333333,66.66666667
82561079341,Visual-only,66.66666667,0
83210547961,AudioVisual,66.66666667,66.66666667
83210547961,Audio-only,66.66666667,66.66666667
83210547961,Visual-only,33.33333333,33.33333333
58910412637,AudioVisual,33.33333333,100
58910412637,Audio-only,0,0
58910412637,Visual-only,0,66.66666667
91013782654,AudioVisual,66.66666667,66.66666667
91013782654,Audio-only,0,0
91013782654,Visual-only,66.66666667,33.33333333
41096321857,AudioVisual,33.33333333,66.66666667
41096321857,Audio-only,33.33333333,66.66666667
41096321857,Visual-only,33.33333333,66.66666667
