indx,female,age,condition,met,score
1,0,21,1,89,0
2,1,21,1,66,.44444445
3,0,19,1,88,.44444445
4,1,18,1,82,.11111111
5,1,19,1,70,.55555558
6,1,19,1,69,.44444445
7,0,36,1,71,.33333334
8,0,18,1,81,.44444445
9,1,21,1,68,.44444445
10,0,16,1,68,.22222222
11,0,19,1,57,.22222222
12,0,19,1,69,.33333334
13,1,21,1,68,.11111111
14,1,28,1,47,.22222222
15,1,19,1,0,.66666669
16,0,21,1,87,.22222222
17,0,19,1,55,.44444445
18,0,19,1,76,.11111111
19,,20,1,83,.33333334
20,1,19,1,67,.33333334
21,0,18,1,79,.44444445
22,1,19,1,0,.55555558
23,1,20,1,71,.11111111
24,0,19,1,84,.44444445
25,0,20,1,65,.22222222
26,1,19,1,56,.66666669
27,0,22,1,74,.55555558
28,1,19,1,62,.33333334
29,0,19,1,69,.11111111
30,1,20,1,63,.22222222
31,,19,1,82,.11111111
32,0,18,1,63,.11111111
33,1,24,1,0,.55555558
34,1,21,1,30,.44444445
35,1,20,1,4,.33333334
36,1,21,1,79,.44444445
37,0,20,1,70,.22222222
38,0,21,1,78,.77777779
39,,20,1,78,.22222222
40,0,18,1,61,.44444445
41,,20,1,41,.66666669
42,0,23,1,68,.55555558
43,0,19,1,22,.55555558
44,1,18,1,47,.33333334
45,1,20,1,56,.44444445
46,1,19,1,80,.11111111
47,,19,1,52,0
48,0,20,1,46,.55555558
49,0,21,1,83,.44444445
50,1,19,1,50,.44444445
51,1,21,1,75,.66666669
52,1,22,1,0,.55555558
53,1,22,1,59,.33333334
54,1,18,1,70,.66666669
55,1,21,1,71,.22222222
56,0,21,1,73,.33333334
57,1,20,1,66,.11111111
58,0,21,1,67,.55555558
59,0,21,1,78,.33333334
60,1,18,1,57,.66666669
61,0,19,1,68,.55555558
62,0,21,1,83,.33333334
63,1,18,1,78,.55555558
64,0,21,1,73,.66666669
65,0,24,1,73,.33333334
66,1,41,1,83,.44444445
67,1,21,1,72,.33333334
68,0,23,1,77,.55555558
69,1,20,1,57,.66666669
70,1,21,1,0,.33333334
71,1,19,1,71,.77777779
72,0,21,1,0,.33333334
73,1,20,1,71,.44444445
74,1,19,1,0,.22222222
75,1,18,1,0,.33333334
76,0,20,1,2,.11111111
77,0,21,1,83,.55555558
78,1,19,1,23,.44444445
79,0,21,1,67,.22222222
80,1,20,1,0,.55555558
81,1,20,1,77,.33333334
82,1,20,1,80,.33333334
83,0,19,1,76,.11111111
84,,19,1,82,.22222222
85,1,20,1,85,.33333334
86,1,18,1,71,.22222222
87,0,20,1,73,.22222222
88,1,19,1,0,.22222222
89,1,19,1,6,.44444445
90,1,19,1,67,.22222222
91,0,20,1,52,.44444445
92,1,19,1,72,.44444445
93,0,39,1,0,.22222222
94,0,21,1,0,0
95,1,19,1,79,.77777779
96,0,20,1,71,.44444445
97,1,19,1,33,.33333334
98,0,20,1,81,.11111111
99,1,18,1,70,.33333334
100,0,21,1,18,.44444445
101,0,19,1,64,.22222222
102,0,22,1,86,.44444445
103,1,21,1,63,0
104,0,19,1,0,.44444445
105,,20,1,57,.55555558
106,1,20,1,78,.22222222
107,0,19,1,65,.33333334
108,0,19,1,73,.55555558
109,0,20,1,65,.33333334
110,0,20,1,61,.11111111
111,1,21,1,58,.33333334
112,0,22,1,82,.22222222
113,0,20,1,67,.22222222
114,0,22,1,49,.33333334
115,0,23,1,74,.77777779
116,0,22,1,93,.11111111
117,1,21,1,88,.44444445
118,0,65,1,28,.11111111
119,1,19,1,82,.22222222
120,0,20,1,59,.44444445
121,1,21,1,69,.66666669
122,0,22,1,82,.11111111
123,1,20,1,51,.22222222
124,1,20,1,75,.33333334
125,0,19,1,77,.33333334
126,,,2,,.22222222
127,1,18,2,57,.22222222
128,1,20,2,79,.22222222
129,1,19,2,80,.66666669
130,1,21,2,82,.22222222
131,,24,2,85,.11111111
132,0,18,2,94,.33333334
133,,23,2,82,.11111111
134,1,21,2,70,.55555558
135,1,18,2,73,.22222222
136,1,18,2,86,.33333334
137,1,19,2,56,.22222222
138,1,19,2,76,.44444445
139,1,22,2,65,.22222222
140,1,19,2,91,.33333334
141,1,19,2,82,.33333334
142,1,19,2,56,.44444445
143,1,19,2,62,.22222222
144,0,20,2,84,.11111111
145,0,19,2,62,.55555558
146,1,46,2,69,.11111111
147,1,19,2,70,0
148,1,23,2,71,.33333334
149,0,19,2,67,.33333334
150,1,21,2,60,.11111111
151,0,19,2,71,.11111111
152,0,20,2,79,.44444445
153,0,18,2,17,.22222222
154,,19,2,60,.33333334
155,1,21,2,57,.33333334
156,0,19,2,79,.22222222
157,1,19,2,77,.22222222
158,0,20,2,80,.22222222
159,1,19,2,77,.33333334
160,0,20,2,80,.22222222
161,1,20,2,88,.44444445
162,0,20,2,72,.22222222
163,,19,2,64,.44444445
164,0,43,2,66,.44444445
165,1,18,2,52,.33333334
166,0,20,2,62,0
167,0,20,2,81,.55555558
168,1,20,2,71,.44444445
169,,20,2,76,.33333334
170,0,20,2,0,.55555558
171,1,19,2,69,0
172,1,19,2,56,.22222222
173,1,19,2,65,.33333334
174,0,21,2,66,.22222222
175,1,20,2,79,.44444445
176,1,20,2,69,.44444445
177,1,24,2,74,.33333334
178,1,19,2,70,.33333334
179,0,19,2,86,.11111111
180,1,19,2,54,.22222222
181,1,19,2,86,.44444445
182,,18,2,75,0
183,0,20,2,79,.33333334
184,1,19,2,83,.33333334
185,0,24,2,71,.55555558
186,1,21,2,46,.33333334
187,0,20,2,70,.22222222
188,0,18,2,79,.33333334
189,0,18,2,0,.44444445
190,1,23,2,78,.11111111
191,1,20,2,42,.44444445
192,,20,2,69,.55555558
193,1,22,2,80,.33333334
194,1,20,2,66,.22222222
195,1,20,2,61,.44444445
196,1,20,2,64,0
