indx,female,age,condition,met,score
197,1,18,2,86,.22222222
198,1,19,2,70,.33333334
199,0,21,2,86,.55555558
200,0,19,2,80,.44444445
201,1,21,2,62,.55555558
202,1,27,2,74,.22222222
203,1,21,2,74,.33333334
204,1,20,2,79,.22222222
205,1,22,2,59,.22222222
206,,25,2,78,.11111111
207,0,20,2,65,.55555558
208,1,20,2,64,.55555558
209,1,18,2,0,.22222222
210,0,19,2,64,.33333334
211,1,21,2,76,.22222222
212,1,29,2,78,.33333334
213,1,20,2,78,.33333334
214,1,21,2,72,.33333334
215,1,24,2,70,.33333334
216,0,21,2,66,.11111111
217,1,26,2,81,.33333334
218,0,20,2,83,.11111111
219,0,21,2,64,.33333334
220,1,20,2,62,.33333334
221,0,19,2,77,.55555558
222,1,19,2,64,.33333334
223,1,19,2,67,.22222222
224,0,19,2,68,.33333334
225,1,18,2,75,.22222222
226,1,19,2,89,.33333334
227,1,21,2,10,.11111111
228,1,20,2,70,.22222222
229,1,18,2,70,.22222222
230,0,21,2,59,.11111111
231,1,20,2,52,.33333334
232,1,19,2,68,.55555558
233,1,22,2,66,.22222222
234,1,18,2,84,.22222222
235,0,21,2,80,.22222222
236,1,19,2,84,.44444445
237,1,20,2,66,.33333334
238,1,18,2,83,.44444445
239,0,19,2,81,.22222222
240,,20,2,71,.22222222
241,1,20,2,71,0
242,1,18,2,59,.22222222
243,0,21,2,74,.44444445
244,0,22,2,77,.11111111
245,1,18,2,66,.22222222
246,1,21,2,87,.22222222
247,1,20,2,74,.44444445
248,1,19,2,70,.22222222
249,0,18,2,82,.11111111
250,1,18,2,90,.33333334
251,1,19,3,52,.33333334
252,1,18,3,47,.44444445
253,,49,3,75,.22222222
254,0,20,3,0,.22222222
255,0,18,3,67,.22222222
256,1,18,3,53,.22222222
257,0,19,3,58,.33333334
258,1,21,3,69,.44444445
259,1,20,3,53,.44444445
260,1,18,3,68,.44444445
261,1,19,3,62,.44444445
262,0,19,3,47,.33333334
263,1,19,3,78,.44444445
264,1,21,3,87,.44444445
265,1,19,3,49,.44444445
266,0,21,3,77,.55555558
267,1,19,3,72,.33333334
268,1,19,3,61,.33333334
269,,24,3,40,.33333334
270,0,19,3,72,.22222222
271,1,20,3,76,.33333334
272,1,18,3,56,.55555558
273,1,19,3,66,.44444445
274,0,18,3,65,.22222222
275,0,21,3,66,.44444445
276,0,20,3,76,.44444445
277,1,23,3,71,.22222222
278,0,18,3,69,.22222222
279,0,21,3,0,.22222222
280,1,19,3,64,.22222222
281,1,19,3,27,.55555558
282,0,20,3,58,.44444445
283,1,19,3,50,.55555558
284,0,20,3,22,.55555558
285,0,21,3,42,.33333334
286,1,20,3,61,.22222222
287,1,21,3,48,.55555558
288,,20,3,68,.66666669
289,0,19,3,59,.22222222
290,1,24,3,63,.44444445
291,0,19,3,50,.11111111
292,1,20,3,59,.44444445
293,1,27,3,75,.77777779
294,1,26,3,61,.33333334
295,0,19,3,65,.22222222
296,,18,3,81,.33333334
297,1,18,3,84,.44444445
298,0,20,3,57,.44444445
299,0,21,3,92,.22222222
300,0,20,3,59,.22222222
301,0,20,3,0,.22222222
302,0,20,3,81,.33333334
303,1,18,3,82,.44444445
304,1,18,3,65,.77777779
305,0,19,3,82,.44444445
306,1,19,3,75,.11111111
307,1,21,3,64,.22222222
308,1,21,3,82,1
309,1,19,3,70,.33333334
310,1,19,3,67,.22222222
311,1,20,3,67,.11111111
312,0,21,3,59,.33333334
313,0,21,3,72,.11111111
314,0,18,3,58,.66666669
315,0,20,3,56,.11111111
316,1,20,3,64,.22222222
317,0,21,3,86,.44444445
318,0,18,3,88,.33333334
319,0,18,3,67,.55555558
320,1,19,3,48,.44444445
321,0,19,3,0,.33333334
322,1,19,3,0,.77777779
323,0,18,3,51,.33333334
324,1,19,3,77,.55555558
325,0,19,3,74,.33333334
326,0,18,3,86,.55555558
327,0,20,3,68,.33333334
328,1,19,3,80,.33333334
329,1,20,3,67,.44444445
330,0,18,3,69,.22222222
331,0,18,3,0,.22222222
332,0,19,3,51,.33333334
333,1,20,3,0,.33333334
334,1,22,3,83,.44444445
335,0,18,3,67,.55555558
336,0,20,3,5,.33333334
337,0,21,3,65,.55555558
338,1,21,3,65,.55555558
339,1,22,3,79,.55555558
340,0,19,3,56,.44444445
341,0,65,3,0,.44444445
342,0,20,3,59,.22222222
343,0,20,3,71,.44444445
344,0,21,3,63,.55555558
345,0,22,3,0,.44444445
346,0,20,3,43,.22222222
347,1,19,3,77,.66666669
348,1,22,3,63,.22222222
349,0,21,3,69,.77777779
350,0,19,3,75,.55555558
351,1,20,3,71,.22222222
352,1,20,3,66,.22222222
353,1,18,3,59,.44444445
354,0,19,3,71,.44444445
355,0,18,3,62,.44444445
356,1,40,3,76,.33333334
357,0,19,3,0,.44444445
358,0,18,3,64,.33333334
359,1,18,3,75,.11111111
360,0,27,3,0,.33333334
361,0,21,3,60,.22222222
362,1,18,3,77,.33333334
363,1,18,3,67,.22222222
364,1,21,3,91,.44444445
365,1,22,3,53,.44444445
366,0,31,3,81,.33333334
367,1,30,3,0,.33333334
368,1,42,3,74,.33333334
369,1,18,3,73,.66666669
370,1,18,3,77,.11111111
371,1,19,3,0,.33333334
372,0,20,3,76,.22222222
373,1,19,3,84,.44444445
374,1,21,3,74,.8888889
375,0,40,3,65,.44444445
