index,Group,score1,score1/100
1,AudioVisual,50,0.5
2,AudioVisual,69.999999,0.69999999
3,AudioVisual,40.000001,0.40000001
4,AudioVisual,30.000001,0.30000001
5,AudioVisual,40.000001,0.40000001
6,AudioVisual,50,0.5
7,AudioVisual,80.000001,0.80000001
8,AudioVisual,60.000002,0.60000002
9,AudioVisual,50,0.5
10,AudioVisual,40.000001,0.40000001
11,AudioVisual,40.000001,0.40000001
12,AudioVisual,60.000002,0.60000002
13,AudioVisual,40.000001,0.40000001
14,AudioVisual,50,0.5
15,AudioVisual,40.000001,0.40000001
16,AudioVisual,30.000001,0.30000001
17,AudioVisual,60.000002,0.60000002
18,AudioVisual,60.000002,0.60000002
19,AudioVisual,30.000001,0.30000001
20,AudioVisual,50,0.5
21,AudioVisual,20,0.2
22,AudioVisual,20,0.2
23,AudioVisual,69.999999,0.69999999
24,AudioVisual,40.000001,0.40000001
25,AudioVisual,20,0.2
26,AudioVisual,60.000002,0.60000002
27,AudioVisual,40.000001,0.40000001
28,AudioVisual,69.999999,0.69999999
29,AudioVisual,40.000001,0.40000001
30,AudioVisual,40.000001,0.40000001
31,AudioVisual,20,0.2
32,AudioVisual,69.999999,0.69999999
33,AudioVisual,10,0.1
34,AudioVisual,40.000001,0.40000001
35,AudioVisual,30.000001,0.30000001
36,AudioVisual,40.000001,0.40000001
37,AudioVisual,20,0.2
38,AudioVisual,60.000002,0.60000002
39,AudioVisual,40.000001,0.40000001
40,AudioVisual,40.000001,0.40000001
41,AudioVisual,50,0.5
42,AudioVisual,30.000001,0.30000001
43,AudioVisual,30.000001,0.30000001
44,AudioVisual,20,0.2
45,AudioVisual,40.000001,0.40000001
46,AudioVisual,60.000002,0.60000002
47,AudioVisual,20,0.2
48,AudioVisual,50,0.5
49,AudioVisual,40.000001,0.40000001
50,AudioVisual,69.999999,0.69999999
51,AudioVisual,30.000001,0.30000001
52,AudioVisual,40.000001,0.40000001
53,AudioVisual,69.999999,0.69999999
54,AudioVisual,40.000001,0.40000001
