index,Group,score1,score1/100
55,AudioVisual,20,0.2
56,AudioVisual,40.000001,0.40000001
57,AudioVisual,10,0.1
58,AudioVisual,20,0.2
59,AudioVisual,69.999999,0.69999999
60,AudioVisual,20,0.2
61,AudioVisual,30.000001,0.30000001
62,AudioVisual,30.000001,0.30000001
63,AudioVisual,40.000001,0.40000001
64,AudioVisual,40.000001,0.40000001
65,AudioVisual,60.000002,0.60000002
66,AudioVisual,50,0.5
67,AudioVisual,60.000002,0.60000002
68,AudioVisual,40.000001,0.40000001
69,AudioVisual,50,0.5
70,AudioVisual,60.000002,0.60000002
71,AudioVisual,20,0.2
72,AudioVisual,40.000001,0.40000001
73,AudioVisual,30.000001,0.30000001
74,AudioVisual,30.000001,0.30000001
75,AudioVisual,40.000001,0.40000001
76,AudioVisual,69.999999,0.69999999
77,AudioVisual,30.000001,0.30000001
78,AudioVisual,20,0.2
79,AudioVisual,50,0.5
80,AudioVisual,50,0.5
81,AudioVisual,40.000001,0.40000001
82,AudioVisual,50,0.5
83,AudioVisual,30.000001,0.30000001
84,AudioVisual,40.000001,0.40000001
85,AudioVisual,80.000001,0.80000001
86,AudioVisual,30.000001,0.30000001
87,AudioVisual,30.000001,0.30000001
88,AudioVisual,20,0.2
89,AudioVisual,40.000001,0.40000001
90,AudioVisual,30.000001,0.30000001
91,AudioVisual,60.000002,0.60000002
92,AudioVisual,40.000001,0.40000001
93,AudioVisual,40.000001,0.40000001
94,AudioVisual,60.000002,0.60000002
95,AudioVisual,50,0.5
96,AudioVisual,50,0.5
97,AudioVisual,50,0.5
98,AudioVisual,30.000001,0.30000001
99,AudioVisual,60.000002,0.60000002
100,AudioVisual,60.000002,0.60000002
101,Visual-only,60.000002,0.60000002
102,Visual-only,40.000001,0.40000001
103,Visual-only,40.000001,0.40000001
104,Visual-only,80.000001,0.80000001
105,Visual-only,69.999999,0.69999999
106,Visual-only,50,0.5
107,Visual-only,40.000001,0.40000001
108,Visual-only,80.000001,0.80000001
109,Visual-only,60.000002,0.60000002
110,Visual-only,69.999999,0.69999999
111,Visual-only,40.000001,0.40000001
112,Visual-only,60.000002,0.60000002
113,Visual-only,60.000002,0.60000002
114,Visual-only,50,0.5
115,Visual-only,69.999999,0.69999999
116,Visual-only,30.000001,0.30000001
117,Visual-only,80.000001,0.80000001
118,Visual-only,30.000001,0.30000001
119,Visual-only,69.999999,0.69999999
120,Visual-only,40.000001,0.40000001
121,Visual-only,50,0.5
122,Visual-only,60.000002,0.60000002
123,Visual-only,50,0.5
124,Visual-only,60.000002,0.60000002
125,Visual-only,30.000001,0.30000001
126,Visual-only,50,0.5
127,Visual-only,50,0.5
128,Visual-only,30.000001,0.30000001
129,Visual-only,50,0.5
130,Visual-only,69.999999,0.69999999
131,Visual-only,50,0.5
132,Visual-only,80.000001,0.80000001
133,Visual-only,40.000001,0.40000001
134,Visual-only,60.000002,0.60000002
135,Visual-only,50,0.5
136,Visual-only,40.000001,0.40000001
137,Visual-only,60.000002,0.60000002
138,Visual-only,50,0.5
139,Visual-only,40.000001,0.40000001
140,Visual-only,50,0.5
141,Visual-only,20,0.2
142,Visual-only,80.000001,0.80000001
143,Visual-only,69.999999,0.69999999
144,Visual-only,50,0.5
145,Visual-only,20,0.2
146,Visual-only,60.000002,0.60000002
147,Visual-only,69.999999,0.69999999
148,Visual-only,60.000002,0.60000002
149,Visual-only,69.999999,0.69999999
150,Visual-only,50,0.5
151,Visual-only,60.000002,0.60000002
152,Visual-only,80.000001,0.80000001
153,Visual-only,40.000001,0.40000001
154,Visual-only,40.000001,0.40000001
155,Visual-only,40.000001,0.40000001
156,Visual-only,50,0.5
157,Visual-only,0,0
158,Visual-only,60.000002,0.60000002
159,Visual-only,50,0.5
160,Visual-only,40.000001,0.40000001
161,Visual-only,60.000002,0.60000002
162,Visual-only,30.000001,0.30000001
163,Visual-only,60.000002,0.60000002
164,Visual-only,69.999999,0.69999999
165,Visual-only,30.000001,0.30000001
166,Visual-only,40.000001,0.40000001
167,Visual-only,40.000001,0.40000001
168,Visual-only,60.000002,0.60000002
169,Visual-only,50,0.5
170,Visual-only,20,0.2
171,Visual-only,60.000002,0.60000002
172,Visual-only,30.000001,0.30000001
173,Visual-only,20,0.2
174,Visual-only,80.000001,0.80000001
175,Visual-only,50,0.5
176,Visual-only,50,0.5
177,Visual-only,30.000001,0.30000001
178,Visual-only,30.000001,0.30000001
179,Visual-only,60.000002,0.60000002
180,Visual-only,30.000001,0.30000001
181,Visual-only,50,0.5
182,Visual-only,20,0.2
183,Visual-only,89.999998,0.89999998
184,Visual-only,60.000002,0.60000002
185,Visual-only,50,0.5
186,Visual-only,69.999999,0.69999999
187,Visual-only,60.000002,0.60000002
188,Visual-only,40.000001,0.40000001
189,Visual-only,50,0.5
190,Visual-only,60.000002,0.60000002
191,Visual-only,50,0.5
192,Visual-only,80.000001,0.80000001
193,Visual-only,10,0.1
194,Visual-only,50,0.5
195,Visual-only,69.999999,0.69999999
196,Visual-only,60.000002,0.60000002
197,Visual-only,40.000001,0.40000001
198,Visual-only,50,0.5
199,Visual-only,60.000002,0.60000002
200,Visual-only,40.000001,0.40000001
201,Audio-only,50,0.5
202,Audio-only,50,0.5
203,Audio-only,20,0.2
204,Audio-only,69.999999,0.69999999
205,Audio-only,30.000001,0.30000001
206,Audio-only,69.999999,0.69999999
207,Audio-only,50,0.5
208,Audio-only,60.000002,0.60000002
209,Audio-only,50,0.5
210,Audio-only,50,0.5
211,Audio-only,50,0.5
212,Audio-only,60.000002,0.60000002
213,Audio-only,30.000001,0.30000001
214,Audio-only,20,0.2
215,Audio-only,40.000001,0.40000001
216,Audio-only,30.000001,0.30000001
217,Audio-only,30.000001,0.30000001
218,Audio-only,60.000002,0.60000002
219,Audio-only,50,0.5
220,Audio-only,40.000001,0.40000001
221,Audio-only,40.000001,0.40000001
222,Audio-only,30.000001,0.30000001
223,Audio-only,50,0.5
224,Audio-only,40.000001,0.40000001
225,Audio-only,30.000001,0.30000001
226,Audio-only,50,0.5
227,Audio-only,40.000001,0.40000001
228,Audio-only,69.999999,0.69999999
229,Audio-only,60.000002,0.60000002
230,Audio-only,40.000001,0.40000001
231,Audio-only,40.000001,0.40000001
232,Audio-only,40.000001,0.40000001
233,Audio-only,50,0.5
234,Audio-only,40.000001,0.40000001
235,Audio-only,50,0.5
236,Audio-only,60.000002,0.60000002
237,Audio-only,50,0.5
238,Audio-only,50,0.5
239,Audio-only,50,0.5
240,Audio-only,30.000001,0.30000001
241,Audio-only,50,0.5
242,Audio-only,30.000001,0.30000001
243,Audio-only,30.000001,0.30000001
244,Audio-only,60.000002,0.60000002
245,Audio-only,30.000001,0.30000001
246,Audio-only,60.000002,0.60000002
247,Audio-only,40.000001,0.40000001
248,Audio-only,30.000001,0.30000001
249,Audio-only,40.000001,0.40000001
250,Audio-only,40.000001,0.40000001
251,Audio-only,30.000001,0.30000001
252,Audio-only,40.000001,0.40000001
253,Audio-only,60.000002,0.60000002
254,Audio-only,60.000002,0.60000002
255,Audio-only,40.000001,0.40000001
256,Audio-only,60.000002,0.60000002
257,Audio-only,60.000002,0.60000002
258,Audio-only,50,0.5
259,Audio-only,40.000001,0.40000001
260,Audio-only,30.000001,0.30000001
261,Audio-only,30.000001,0.30000001
262,Audio-only,60.000002,0.60000002
263,Audio-only,20,0.2
264,Audio-only,50,0.5
265,Audio-only,40.000001,0.40000001
266,Audio-only,30.000001,0.30000001
267,Audio-only,40.000001,0.40000001
268,Audio-only,30.000001,0.30000001
269,Audio-only,30.000001,0.30000001
270,Audio-only,40.000001,0.40000001
271,Audio-only,60.000002,0.60000002
272,Audio-only,30.000001,0.30000001
273,Audio-only,50,0.5
274,Audio-only,60.000002,0.60000002
275,Audio-only,50,0.5
276,Audio-only,69.999999,0.69999999
277,Audio-only,40.000001,0.40000001
278,Audio-only,60.000002,0.60000002
279,Audio-only,40.000001,0.40000001
280,Audio-only,20,0.2
281,Audio-only,60.000002,0.60000002
282,Audio-only,60.000002,0.60000002
283,Audio-only,40.000001,0.40000001
284,Audio-only,30.000001,0.30000001
285,Audio-only,60.000002,0.60000002
286,Audio-only,40.000001,0.40000001
287,Audio-only,30.000001,0.30000001
288,Audio-only,30.000001,0.30000001
289,Audio-only,40.000001,0.40000001
290,Audio-only,30.000001,0.30000001
291,Audio-only,30.000001,0.30000001
292,Audio-only,60.000002,0.60000002
293,Audio-only,30.000001,0.30000001
294,Audio-only,60.000002,0.60000002
295,Audio-only,50,0.5
296,Audio-only,50,0.5
297,Audio-only,60.000002,0.60000002
298,Audio-only,50,0.5
299,Audio-only,69.999999,0.69999999
300,Audio-only,30.000001,0.30000001
