index,Group,score1,score1/100
1,AudioVisual,60.000002,0.60000002
2,AudioVisual,40.000001,0.40000001
3,AudioVisual,60.000002,0.60000002
4,AudioVisual,80.000001,0.80000001
5,AudioVisual,80.000001,0.80000001
6,AudioVisual,80.000001,0.80000001
7,AudioVisual,40.000001,0.40000001
8,AudioVisual,60.000002,0.60000002
9,AudioVisual,60.000002,0.60000002
10,AudioVisual,60.000002,0.60000002
11,AudioVisual,60.000002,0.60000002
12,AudioVisual,40.000001,0.40000001
13,AudioVisual,60.000002,0.60000002
14,AudioVisual,80.000001,0.80000001
15,AudioVisual,80.000001,0.80000001
16,AudioVisual,20,0.2
17,AudioVisual,60.000002,0.60000002
18,AudioVisual,40.000001,0.40000001
19,AudioVisual,40.000001,0.40000001
20,AudioVisual,60.000002,0.60000002
21,AudioVisual,80.000001,0.80000001
22,AudioVisual,100,1
23,AudioVisual,100,1
24,AudioVisual,80.000001,0.80000001
25,AudioVisual,60.000002,0.60000002
26,AudioVisual,40.000001,0.40000001
27,AudioVisual,40.000001,0.40000001
28,AudioVisual,80.000001,0.80000001
29,AudioVisual,60.000002,0.60000002
30,AudioVisual,80.000001,0.80000001
31,AudioVisual,60.000002,0.60000002
32,AudioVisual,100,1
33,AudioVisual,60.000002,0.60000002
34,AudioVisual,80.000001,0.80000001
35,AudioVisual,60.000002,0.60000002
36,AudioVisual,40.000001,0.40000001
37,AudioVisual,40.000001,0.40000001
38,AudioVisual,100,1
39,AudioVisual,60.000002,0.60000002
40,AudioVisual,40.000001,0.40000001
41,AudioVisual,60.000002,0.60000002
42,AudioVisual,80.000001,0.80000001
43,AudioVisual,60.000002,0.60000002
44,AudioVisual,60.000002,0.60000002
45,AudioVisual,60.000002,0.60000002
46,AudioVisual,60.000002,0.60000002
47,AudioVisual,40.000001,0.40000001
48,AudioVisual,100,1
49,AudioVisual,80.000001,0.80000001
50,AudioVisual,60.000002,0.60000002
51,Visual-only,60.000002,0.60000002
52,Visual-only,40.000001,0.40000001
53,Visual-only,20,0.2
54,Visual-only,60.000002,0.60000002
55,Visual-only,40.000001,0.40000001
56,Visual-only,40.000001,0.40000001
57,Visual-only,100,1
58,Visual-only,60.000002,0.60000002
59,Visual-only,20,0.2
60,Visual-only,60.000002,0.60000002
61,Visual-only,40.000001,0.40000001
62,Visual-only,40.000001,0.40000001
63,Audio-only,40.000001,0.40000001
64,Audio-only,100,1
65,Visual-only,20,0.2
66,Visual-only,40.000001,0.40000001
67,Visual-only,40.000001,0.40000001
68,Visual-only,40.000001,0.40000001
69,Visual-only,40.000001,0.40000001
70,Visual-only,60.000002,0.60000002
71,Visual-only,20,0.2
72,Visual-only,40.000001,0.40000001
73,Visual-only,80.000001,0.80000001
74,Visual-only,20,0.2
75,Visual-only,40.000001,0.40000001
76,Visual-only,60.000002,0.60000002
77,Visual-only,20,0.2
78,Visual-only,60.000002,0.60000002
79,Visual-only,40.000001,0.40000001
80,Visual-only,40.000001,0.40000001
81,Visual-only,20,0.2
82,Audio-only,80.000001,0.80000001
83,Visual-only,20,0.2
84,Visual-only,80.000001,0.80000001
85,Visual-only,40.000001,0.40000001
86,Visual-only,60.000002,0.60000002
87,Visual-only,20,0.2
88,Visual-only,60.000002,0.60000002
89,Visual-only,40.000001,0.40000001
90,Visual-only,40.000001,0.40000001
91,Visual-only,40.000001,0.40000001
92,Visual-only,20,0.2
93,Visual-only,40.000001,0.40000001
94,Visual-only,40.000001,0.40000001
95,Visual-only,60.000002,0.60000002
96,Visual-only,60.000002,0.60000002
97,Visual-only,40.000001,0.40000001
98,Visual-only,80.000001,0.80000001
99,Visual-only,40.000001,0.40000001
100,Visual-only,40.000001,0.40000001
101,Visual-only,40.000001,0.40000001
102,Visual-only,80.000001,0.80000001
103,Visual-only,60.000002,0.60000002
104,Audio-only,100,1
105,Audio-only,80.000001,0.80000001
106,Audio-only,60.000002,0.60000002
107,Audio-only,80.000001,0.80000001
108,Audio-only,60.000002,0.60000002
109,Audio-only,60.000002,0.60000002
110,Audio-only,60.000002,0.60000002
111,Audio-only,80.000001,0.80000001
112,Audio-only,60.000002,0.60000002
113,Audio-only,40.000001,0.40000001
114,Audio-only,80.000001,0.80000001
115,Audio-only,60.000002,0.60000002
116,Audio-only,60.000002,0.60000002
117,Audio-only,60.000002,0.60000002
118,Audio-only,60.000002,0.60000002
119,Audio-only,80.000001,0.80000001
120,Audio-only,100,1
121,Audio-only,80.000001,0.80000001
122,Audio-only,100,1
123,Audio-only,80.000001,0.80000001
124,Audio-only,80.000001,0.80000001
125,Audio-only,60.000002,0.60000002
126,Audio-only,80.000001,0.80000001
127,Audio-only,40.000001,0.40000001
128,Audio-only,40.000001,0.40000001
129,Audio-only,60.000002,0.60000002
130,Audio-only,80.000001,0.80000001
131,Audio-only,60.000002,0.60000002
132,Audio-only,80.000001,0.80000001
133,Audio-only,20,0.2
134,Audio-only,100,1
135,Audio-only,80.000001,0.80000001
136,Audio-only,80.000001,0.80000001
137,Audio-only,60.000002,0.60000002
138,Audio-only,60.000002,0.60000002
139,Audio-only,60.000002,0.60000002
140,Audio-only,60.000002,0.60000002
141,Audio-only,100,1
142,Audio-only,40.000001,0.40000001
143,Audio-only,40.000001,0.40000001
144,Audio-only,40.000001,0.40000001
145,Audio-only,80.000001,0.80000001
146,Audio-only,60.000002,0.60000002
147,Audio-only,60.000002,0.60000002
148,Audio-only,80.000001,0.80000001
149,Audio-only,60.000002,0.60000002
150,Audio-only,100,1
