index,Group,score1,score1/100
142,Audio-only,44.444445,0.44444445
143,Audio-only,22.222222,0.22222222
144,Audio-only,11.111111,0.11111111
145,Audio-only,55.555558,0.55555558
146,Audio-only,11.111111,0.11111111
147,Audio-only,0,0
148,Audio-only,33.333334,0.33333334
149,Audio-only,33.333334,0.33333334
150,Audio-only,11.111111,0.11111111
151,Audio-only,11.111111,0.11111111
152,Audio-only,44.444445,0.44444445
153,Audio-only,22.222222,0.22222222
154,Audio-only,33.333334,0.33333334
155,Audio-only,33.333334,0.33333334
156,Audio-only,22.222222,0.22222222
157,Audio-only,22.222222,0.22222222
158,Audio-only,22.222222,0.22222222
159,Audio-only,33.333334,0.33333334
160,Audio-only,22.222222,0.22222222
161,Audio-only,44.444445,0.44444445
162,Audio-only,22.222222,0.22222222
163,Audio-only,44.444445,0.44444445
164,Audio-only,44.444445,0.44444445
165,Audio-only,33.333334,0.33333334
166,Audio-only,0,0
167,Audio-only,55.555558,0.55555558
168,Audio-only,44.444445,0.44444445
169,Audio-only,33.333334,0.33333334
170,Audio-only,55.555558,0.55555558
171,Audio-only,0,0
172,Audio-only,22.222222,0.22222222
173,Audio-only,33.333334,0.33333334
174,Audio-only,22.222222,0.22222222
175,Audio-only,44.444445,0.44444445
176,Audio-only,44.444445,0.44444445
177,Audio-only,33.333334,0.33333334
178,Audio-only,33.333334,0.33333334
179,Audio-only,11.111111,0.11111111
180,Audio-only,22.222222,0.22222222
181,Audio-only,44.444445,0.44444445
182,Audio-only,0,0
183,Audio-only,33.333334,0.33333334
184,Audio-only,33.333334,0.33333334
185,Audio-only,55.555558,0.55555558
186,Audio-only,33.333334,0.33333334
187,Audio-only,22.222222,0.22222222
188,Audio-only,33.333334,0.33333334
189,Audio-only,44.444445,0.44444445
190,Audio-only,11.111111,0.11111111
191,Audio-only,44.444445,0.44444445
192,Audio-only,55.555558,0.55555558
193,Audio-only,33.333334,0.33333334
194,Audio-only,22.222222,0.22222222
195,Audio-only,44.444445,0.44444445
196,Audio-only,0,0
197,Audio-only,22.222222,0.22222222
198,Audio-only,33.333334,0.33333334
199,Audio-only,55.555558,0.55555558
200,Audio-only,44.444445,0.44444445
201,Audio-only,55.555558,0.55555558
202,Audio-only,22.222222,0.22222222
203,Audio-only,33.333334,0.33333334
204,Audio-only,22.222222,0.22222222
205,Audio-only,22.222222,0.22222222
206,Audio-only,11.111111,0.11111111
207,Audio-only,55.555558,0.55555558
208,Audio-only,55.555558,0.55555558
209,Audio-only,22.222222,0.22222222
210,Audio-only,33.333334,0.33333334
211,Audio-only,22.222222,0.22222222
212,Audio-only,33.333334,0.33333334
213,Audio-only,33.333334,0.33333334
214,Audio-only,33.333334,0.33333334
215,Audio-only,33.333334,0.33333334
216,Audio-only,11.111111,0.11111111
217,Audio-only,33.333334,0.33333334
218,Audio-only,11.111111,0.11111111
219,Audio-only,33.333334,0.33333334
220,Audio-only,33.333334,0.33333334
221,Audio-only,55.555558,0.55555558
222,Audio-only,33.333334,0.33333334
223,Audio-only,22.222222,0.22222222
224,Audio-only,33.333334,0.33333334
225,Audio-only,22.222222,0.22222222
226,Audio-only,33.333334,0.33333334
227,Audio-only,11.111111,0.11111111
228,Audio-only,22.222222,0.22222222
229,Audio-only,22.222222,0.22222222
230,Audio-only,11.111111,0.11111111
231,Audio-only,33.333334,0.33333334
232,Audio-only,55.555558,0.55555558
233,Audio-only,22.222222,0.22222222
234,Audio-only,22.222222,0.22222222
235,Audio-only,22.222222,0.22222222
236,Audio-only,44.444445,0.44444445
