indx,female,age,met,condition,score
272,0,18,76,2,.30000001
273,0,38,86,2,.5
274,1,25,93,2,.60000002
275,1,27,79,2,.5
276,1,21,67,2,.69999999
277,0,25,71,2,.40000001
278,1,19,79,2,.60000002
279,1,18,78,2,.40000001
280,1,21,86,2,.2
281,1,19,76,2,.60000002
282,0,21,80,2,.60000002
283,1,37,82,2,.40000001
284,0,21,66,2,.30000001
285,0,20,69,2,.60000002
286,1,18,73,2,.40000001
287,1,19,80,2,.30000001
288,0,21,93,2,.30000001
289,1,19,76,2,.40000001
290,1,18,69,2,.30000001
291,1,21,67,2,.30000001
292,0,21,68,2,.60000002
293,0,19,81,2,.30000001
294,0,23,69,2,.60000002
295,0,21,54,2,.5
296,1,48,81,2,.5
297,1,25,76,2,.60000002
298,1,18,91,2,.5
299,1,19,76,2,.69999999
300,0,20,61,2,.30000001
