indx,female,age,met,condition,score
1,1,16,75,1,.5
2,1,36,75,1,.69999999
3,0,18,82,1,.40000001
4,0,19,85,1,.30000001
5,1,20,84,1,.40000001
6,1,18,83,1,.5
7,1,21,78,1,.80000001
8,1,26,63,1,.60000002
9,0,18,73,1,.5
10,0,18,86,1,.40000001
11,1,48,75,1,.40000001
12,1,20,79,1,.60000002
13,0,22,78,1,.40000001
14,1,18,75,1,.5
15,1,19,68,1,.40000001
16,0,31,80,1,.30000001
17,0,19,55,1,.60000002
18,1,19,76,1,.60000002
19,1,25,53,1,.30000001
20,1,29,74,1,.5
21,1,32,80,1,.2
22,1,19,75,1,.2
23,1,20,83,1,.69999999
24,1,19,68,1,.40000001
25,0,24,57,1,.2
26,0,38,89,1,.60000002
27,1,22,79,1,.40000001
28,1,19,76,1,.69999999
29,1,20,73,1,.40000001
30,1,23,80,1,.40000001
31,1,20,79,1,.2
32,1,21,71,1,.69999999
33,1,20,69,1,.1
34,1,20,81,1,.40000001
35,1,21,72,1,.30000001
36,1,43,78,1,.40000001
37,1,18,78,1,.2
38,1,20,56,1,.60000002
39,1,21,76,1,.40000001
40,1,18,77,1,.40000001
41,1,21,66,1,.5
42,0,21,76,1,.30000001
43,1,19,76,1,.30000001
44,1,23,83,1,.2
45,1,55,78,1,.40000001
46,1,20,88,1,.60000002
47,1,22,90,1,.2
48,1,18,59,1,.5
49,1,18,62,1,.40000001
50,0,18,90,1,.69999999
51,1,22,80,1,.30000001
52,0,18,70,1,.40000001
53,0,20,88,1,.69999999
54,1,20,62,1,.40000001
55,1,18,54,1,.2
56,1,64,94,1,.40000001
57,1,19,77,1,.1
58,1,18,63,1,.2
59,1,25,65,1,.69999999
60,1,21,75,1,.2
61,1,18,87,1,.30000001
62,1,18,85,1,.30000001
63,0,22,86,1,.40000001
64,1,21,55,1,.40000001
65,1,19,84,1,.60000002
66,1,18,80,1,.5
67,1,19,73,1,.60000002
68,0,20,55,1,.40000001
69,1,20,78,1,.5
70,1,21,64,1,.60000002
71,1,18,87,1,.2
72,0,20,71,1,.40000001
73,1,20,76,1,.30000001
74,1,18,71,1,.30000001
75,0,21,84,1,.40000001
76,1,19,85,1,.69999999
77,1,18,79,1,.30000001
78,1,22,60,1,.2
79,1,20,77,1,.5
80,0,18,82,1,.5
81,0,20,68,1,.40000001
82,0,21,69,1,.5
83,0,19,54,1,.30000001
84,1,21,67,1,.40000001
85,1,19,59,1,.80000001
86,1,22,57,1,.30000001
87,1,19,80,1,.30000001
88,0,21,78,1,.2
89,1,20,57,1,.40000001
90,1,19,91,1,.30000001
91,0,20,80,1,.60000002
92,1,20,73,1,.40000001
93,1,18,84,1,.40000001
94,1,19,57,1,.60000002
95,0,20,60,1,.5
96,0,21,93,1,.5
97,0,19,80,1,.5
98,0,39,77,1,.30000001
99,1,21,82,1,.60000002
100,0,22,63,1,.60000002
101,1,18,80,3,.60000002
102,0,24,77,3,.40000001
103,1,17,49,3,.40000001
104,0,18,65,3,.80000001
105,0,33,80,3,.69999999
106,0,40,82,3,.5
107,1,18,80,3,.40000001
108,0,19,65,3,.80000001
109,0,24,82,3,.60000002
110,0,20,72,3,.69999999
111,0,16,65,3,.40000001
112,1,18,69,3,.60000002
113,0,18,52,3,.60000002
114,1,37,84,3,.5
115,1,23,73,3,.69999999
116,0,20,88,3,.30000001
117,1,19,51,3,.80000001
118,1,37,80,3,.30000001
119,1,20,67,3,.69999999
120,1,27,67,3,.40000001
121,0,19,53,3,.5
122,1,21,71,3,.60000002
123,1,18,56,3,.5
124,0,20,66,3,.60000002
125,0,21,74,3,.30000001
126,0,18,62,3,.5
127,1,34,68,3,.5
128,1,20,62,3,.30000001
129,1,19,52,3,.5
130,0,20,84,3,.69999999
131,1,20,76,3,.5
132,1,18,87,3,.80000001
133,0,19,86,3,.40000001
134,1,20,76,3,.60000002
135,0,21,68,3,.5
136,1,21,89,3,.40000001
137,1,19,70,3,.60000002
138,1,23,87,3,.5
139,1,21,62,3,.40000001
140,1,21,63,3,.5
141,0,19,69,3,.2
142,1,18,93,3,.80000001
143,0,20,79,3,.69999999
144,0,19,74,3,.5
145,0,21,74,3,.2
146,0,20,69,3,.60000002
147,1,18,81,3,.69999999
148,1,21,60,3,.60000002
149,1,18,84,3,.69999999
150,1,20,94,3,.5
151,1,19,62,3,.60000002
152,0,20,67,3,.80000001
153,1,20,81,3,.40000001
154,1,22,46,3,.40000001
155,0,18,99,3,.40000001
156,0,18,85,3,.5
157,1,43,73,3,0
158,1,21,54,3,.60000002
159,0,19,95,3,.5
160,1,18,58,3,.40000001
161,1,29,73,3,.60000002
162,1,21,56,3,.30000001
163,1,18,79,3,.60000002
164,1,21,72,3,.69999999
165,1,19,62,3,.30000001
166,1,19,68,3,.40000001
167,1,21,79,3,.40000001
168,0,19,72,3,.60000002
169,0,21,55,3,.5
170,1,21,58,3,.2
171,1,18,61,3,.60000002
172,0,21,82,3,.30000001
173,0,21,50,3,.2
174,0,21,73,3,.80000001
175,0,20,88,3,.5
176,0,18,83,3,.5
177,0,19,81,3,.30000001
178,1,20,93,3,.30000001
179,1,33,73,3,.60000002
180,0,24,58,3,.30000001
181,1,20,67,3,.5
182,0,19,81,3,.2
183,1,18,73,3,.89999998
184,1,18,68,3,.60000002
185,1,20,73,3,.5
186,1,18,69,3,.69999999
187,1,20,65,3,.60000002
188,0,21,81,3,.40000001
189,1,23,75,3,.5
190,0,19,82,3,.60000002
191,0,21,68,3,.5
192,1,19,59,3,.80000001
193,0,20,63,3,.1
194,0,21,92,3,.5
195,1,19,72,3,.69999999
196,1,22,73,3,.60000002
197,1,19,67,3,.40000001
198,0,18,69,3,.5
199,1,20,71,3,.60000002
200,1,20,81,3,.40000001
201,1,30,81,2,.5
202,0,18,73,2,.5
203,1,25,80,2,.2
204,1,40,82,2,.69999999
205,0,19,71,2,.30000001
206,1,15,62,2,.69999999
207,1,18,59,2,.5
208,1,25,81,2,.60000002
209,1,18,59,2,.5
210,0,19,76,2,.5
211,1,26,80,2,.5
212,1,18,66,2,.60000002
213,1,24,68,2,.30000001
214,0,19,62,2,.2
215,0,29,92,2,.40000001
216,1,17,74,2,.30000001
217,0,21,68,2,.30000001
218,1,18,60,2,.60000002
219,0,18,84,2,.5
220,1,18,49,2,.40000001
221,0,19,70,2,.40000001
222,0,22,85,2,.30000001
223,1,21,62,2,.5
224,1,30,90,2,.40000001
225,0,20,76,2,.30000001
226,0,19,78,2,.5
227,1,18,75,2,.40000001
228,1,21,54,2,.69999999
229,0,20,82,2,.60000002
230,1,26,60,2,.40000001
231,1,19,76,2,.40000001
232,1,19,66,2,.40000001
233,1,27,91,2,.5
234,1,22,81,2,.40000001
235,1,36,76,2,.5
236,1,19,65,2,.60000002
237,1,42,90,2,.5
238,1,59,81,2,.5
239,1,50,86,2,.5
240,1,19,87,2,.30000001
241,1,19,91,2,.5
242,1,20,83,2,.30000001
243,1,25,67,2,.30000001
244,0,22,65,2,.60000002
245,1,20,61,2,.30000001
246,1,21,98,2,.60000002
247,1,25,77,2,.40000001
248,0,22,49,2,.30000001
249,1,21,62,2,.40000001
250,1,22,85,2,.40000001
251,0,20,71,2,.30000001
252,1,21,77,2,.40000001
253,1,19,74,2,.60000002
254,1,19,73,2,.60000002
255,1,26,69,2,.40000001
256,1,20,86,2,.60000002
257,0,20,92,2,.60000002
258,0,20,51,2,.5
259,0,19,71,2,.40000001
260,1,21,85,2,.30000001
261,1,19,86,2,.30000001
262,1,19,69,2,.60000002
263,1,18,54,2,.2
264,1,19,85,2,.5
265,1,19,74,2,.40000001
266,1,21,71,2,.30000001
267,0,22,56,2,.40000001
268,1,18,76,2,.30000001
269,1,21,70,2,.30000001
270,1,24,71,2,.40000001
271,0,20,86,2,.60000002
