ID,Sample number (AO),Sample number (VO),Sample number (AV),Competition,Section,Year,Musician,Instrument,Result,Variance condition,Start Time,Source video (full length),6-second clip (AO),6-second clip (VO),6-second clip (AV)
29,C25-1,C35-1,C63-1,International Franz Liszt Piano Competition,,2011,Masataka Goto,Piano,1st place,high-variance,0:56,goo.gl/vnsOGD,https://osf.io/zxc9q/,https://osf.io/5vncb/,https://osf.io/wzqk6/
30,C25-2,C35-2,C63-2,International Franz Liszt Piano Competition,,2011,Ivan Penkov,Piano,Semifinalist,high-variance,N/A,goo.gl/BeUu5c*,https://osf.io/gfw54/,https://osf.io/c5equ/,https://osf.io/8ms2w/
31,C26-1,C36-1,C64-1,International Michinoku Tsugaru shamisen Competion,junior high school and high school students,2019,Keita Tanase,Tsugaru shamisen,1st place,high-variance,0:17,https://www.youtube.com/watch?v=Irgwr7pmesI,https://osf.io/8baey/,https://osf.io/y7859/,https://osf.io/s6t82/
32,C26-2,C36-2,C64-2,International Michinoku Tsugaru shamisen Competion,junior high school and high school students,2019,Akane Uto,Tsugaru shamisen,8th place,high-variance,0:02,https://www.youtube.com/watch?v=Irgwr7pmesI,https://osf.io/2v3u4/,https://osf.io/xkfn5/,https://osf.io/tw7m6/
33,C27-1,C37-1,C65-1,International Biwako Tsugaru shamisen Competion,general women public,2019,Kasumi Minato,Tsugaru shamisen,1st place,high-variance,5:53,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/cs4h5/,https://osf.io/gqbrk/,https://osf.io/rce3t/
34,C27-2,C37-2,C65-2,International Biwako Tsugaru shamisen Competion,general women public,2019,Ando Yumi,Tsugaru shamisen,21~47th place,high-variance,4:57,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/azrnc/,https://osf.io/u9j4c/,https://osf.io/nvh6z/
35,C28-1,C38-1,C66-1,International Biwako Tsugaru shamisen Competion,beginner,2019,Yu Wan,Tsugaru shamisen,1st place,high-variance,2:08,https://www.youtube.com/watch?v=_-sRdf0Sgbk&t=30062s,https://osf.io/bhruj/,https://osf.io/wa6gz/,https://osf.io/sgjnp/
36,C28-2,C38-2,C66-2,International Biwako Tsugaru shamisen Competion,beginner,2019,Naoko Kito,Tsugaru shamisen,21~50th Place,high-variance,0:43,https://www.youtube.com/watch?v=_-sRdf0Sgbk&t=30062s,https://osf.io/m623u/,https://osf.io/jms76/,https://osf.io/cj23z/
37,C29-1,C39-1,C67-1,International Hirosaki Tsugaru shamisen Competion,youth C,2019,Yurato Sugawara,Tsugaru shamisen,1st place,high-variance,2:06,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/34q2u/,https://osf.io/5khbd/,https://osf.io/87bq2/
38,C29-2,C39-2,C67-2,International Hirosaki Tsugaru shamisen Competion,youth C,2019,Marina Nakamura,Tsugaru shamisen,9~57th place,high-variance,2:04,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/cb8pn/,https://osf.io/zuadk/,https://osf.io/cxp9s/
39,C30-1,C40-1,C68-1,International Hirosaki Tsugaru shamisen Competion,senior C,2019,Yoko Hukase,Tsugaru shamisen,1st place,high-variance,2:51,https://www.youtube.com/watch?v=QkIZO98Zu9g,https://osf.io/56qzw/,https://osf.io/9gdwr/,https://osf.io/8ynck/
40,C30-2,C40-2,C68-2,International Hirosaki Tsugaru shamisen Competion,senior C,2019,Hiroki Sato,Tsugaru shamisen,8~31th place,high-variance,1:56,https://www.youtube.com/watch?v=QkIZO98Zu9g,https://osf.io/2ujf4/,https://osf.io/h6k8p/,https://osf.io/zkf4y/
41,C41-1,C45-1,C69-1,International Franz Liszt Piano Competition,,2008,Vitaly Pisarenko,Piano (additional),1st place,low-variance,0:15,goo.gl/pc3dV2,https://osf.io/hyzfe/,https://osf.io/x6pvq/,https://osf.io/tgjkz/
42,C41-2,C45-2,C69-2,International Franz Liszt Piano Competition,,2008,Nino Gvetadze,Piano (additional),2nd place,low-variance,7:30,goo.gl/2HuonA,https://osf.io/tpqsn/,https://osf.io/acnj7/,https://osf.io/huv8d/
43,C42-1,C46-1,C70-1,Cleveland International Piano Competition,,2009,Martin Filjak,Piano (additional),1st place,low-variance,8:00,goo.gl/AN0aov**,https://osf.io/32mfc/,https://osf.io/znhpd/,https://osf.io/sajyw/
44,C42-2,C46-2,C70-2,Cleveland International Piano Competition,,2009,Dmitri Levkovich,Piano (additional),2nd place,low-variance,4:42,goo.gl/AN0aov,https://osf.io/t7jdp/,https://osf.io/tpszc/,https://osf.io/a87x9/
45,C43-1,C47-1,C71-1,Joseph Joachim International Violin Competition Hannover,,2009,Fumiaki Muira,Violin,1st place,low-variance,0:21,goo.gl/N9sfEa,https://osf.io/ekrc4/,https://osf.io/cmn2u/,https://osf.io/8nysp/
46,C43-2,C47-2,C71-2,Joseph Joachim International Violin Competition Hannover,,2009,Clara-Jumi Kang,Violin,2nd place,low-variance,0:01,goo.gl/6V2I9D,https://osf.io/e3rz6/,https://osf.io/8wexb/,https://osf.io/7w2v8/
47,C44-1,C48-1,C72-1,Queen Elisabeth Competition,,2009,Ray Chen,Violin,1st place,low-variance,1:02,goo.gl/Sr49fS,https://osf.io/8v3ut/,https://osf.io/j894n/,https://osf.io/jmyqx/
48,C44-2,C48-2,C72-2,Queen Elisabeth Competition,,2009,Lorenzo Gatto,Violin,2nd place,low-variance,3:10,goo.gl/3Hq9Ls,https://osf.io/me3w6/,https://osf.io/xy8t5/,https://osf.io/9kr7u/
